sql,Hard Skills,Database
Teradata,Hard Skills,Database
mysql,Hard Skills,Database
oracle,Hard Skills,Database
sybase,Hard Skills,Database
db2,Hard Skills,Database
postgresSQL,Hard Skills,Database
SAS,Hard Skills,Analytical Software
Python,Hard Skills,Programming
php,Hard Skills,Programming
Ruby,Hard Skills,Programming
Matlab,Hard Skills,Analytical Software
JAVA,Hard Skills,Programming
MongoDB,Hard Skills,Database
Hadoop,Hard Skills,software framework
Spark,Hard Skills,software framework
SPSS,Hard Skills,Analytical Software
Tableau,Hard Skills,Analytical Software
excel,Hard Skills,Analytical Software
Statistics,Hard Skills,knowledge
modeling,Hard Skills,knowledge
pig,Hard Skills,software framework
MapReduce,Hard Skills,software framework
Hive,Hard Skills,software framework
Weka,Hard Skills,software framework
UNIXLinux,Hard Skills,software framework
scala,Hard Skills,Programming
AWS,Hard Skills,cloud services platform
NoSql,Hard Skills,Database
machinelearning,Hard Skills,knowledge
Perl,Hard Skills,Programming
Kafka,Hard Skills,software framework
visualization,Hard Skills,knowledge
HTML,Hard Skills,Programming
CSS,Hard Skills,Programming
PowerPoint,Hard Skills,knowledge
JQuery,Hard Skills,Programming
JavaScript,Hard Skills,Programming
Cassandra,Hard Skills,Database
Aerospike,Hard Skills,Database
Vertica,Hard Skills,Analytical Software
Zookeeper,Hard Skills,software framework
json,Hard Skills,Programming
communication,Soft Skills ,Soft Skills 
interpersonal,Soft Skills ,Soft Skills 
Leadership,Soft Skills ,Soft Skills 
team,Soft Skills ,Soft Skills 
motivated,Soft Skills ,Soft Skills 
problemsolving,Soft Skills ,Soft Skills 
creativity,Soft Skills ,Soft Skills 
collaborate,Soft Skills ,Soft Skills 
Energetic,Soft Skills ,Soft Skills 
Organized,Soft Skills ,Soft Skills 
Independent,Soft Skills ,Soft Skills 
listening,Soft Skills ,Soft Skills 
Presentation,Soft Skills ,Soft Skills 
R,Hard Skills,Programming
